TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude
Break and Enter Residential/Other,2017,3,15,13,12,22XX E 1ST AVE,Grandview-Woodland,495659.45,5457413.57,49.26946705,-123.0596663
Theft of Bicycle,2013,5,27,1,5,13XX SHOREPINE WALK,Fairview,490269.64,5457232.4,49.26777538,-123.1337514
Break and Enter Commercial,2013,7,12,1,0,36XX KINGSWAY AVE,Renfrew-Collingwood,498129.65,5453273.44,49.2322382,-123.025691
Vehicle Collision or Pedestrian Struck (with Injury),2016,11,4,23,45,JACKSON AVE / E HASTINGS ST,Strathcona,493205,5458724,49.28123225,-123.093428
Break and Enter Residential/Other,2014,8,2,11,0,11XX BURRARD ST,Central Business District,490715.25,5458594.52,49.28003481,-123.1276577
Other Theft,2009,7,17,9,30,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92,49.25816372,-123.0369859
Theft from Vehicle,2010,8,30,12,0,39XX W 51ST AVE,Musqueam,485986.31,5452553.56,49.22560522,-123.1924651
Theft of Vehicle,2004,6,1,14,0,35XX GRANDVIEW HWY,Renfrew-Collingwood,498072.88,5456158.75,49.25819206,-123.0264846
Theft from Vehicle,2006,5,5,16,15,36XX W BROADWAY AVE,Kitsilano,486621.05,5456853.33,49.26429665,-123.1838912
Mischief,2016,6,17,19,58,BARCLAY ST / LAGOON DR,Stanley Park,489686.43,5460030.38,49.29293407,-123.1418402
Break and Enter Commercial,2015,7,31,20,0,16XX MAIN ST,Mount Pleasant,492667.5,5457508.95,49.27029645,-123.100796
Break and Enter Residential/Other,2006,4,6,19,0,3XX E 45TH AVE,Sunset,492899.83,5452947.3,49.22926619,-123.0975215
Theft from Vehicle,2003,8,5,23,0,14XX W 7TH AVE,Fairview,490029.98,5456955.11,49.26527725,-123.1370388
Theft from Vehicle,2008,8,18,19,15,DAVIE ST / GRANVILLE ST,Central Business District,490821.31,5458274.15,49.27715463,-123.1261922
Theft from Vehicle,2005,11,15,15,0,34XX CAMBIE ST,South Cambie,491611.96,5455707.98,49.25408282,-123.1152682
Mischief,2007,11,3,19,0,10XX COMMERCIAL DR,Grandview-Woodland,494937.7,5458107.2,49.27570083,-123.0695964
